INFO:bdonline.replay.trainers_replay:No data files found to load for adaptation in data/online/2019-09-26
INFO:__main__:Starting server on port 7987
INFO:__main__:Started server
INFO:__main__:New connection from ('127.0.0.1', 51598)!
INFO:__main__:Connected to out Server
INFO:__main__:Prediction for sample 28599:
[0.55338883 0.44661114] with label0.0
INFO:__main__:Prediction for sample 28724:
[0.5423766  0.45762345] with label0.0
INFO:__main__:Prediction for sample 28849:
[0.55172807 0.44827193] with label0.0
INFO:__main__:Prediction for sample 28974:
[0.53119415 0.46880582] with label0.0
INFO:__main__:Prediction for sample 29099:
[0.57398117 0.42601877] with label0.0
INFO:__main__:Prediction for sample 29224:
[0.5194368 0.4805632] with label0.0
INFO:__main__:Prediction for sample 29349:
[0.573212   0.42678794] with label0.0
INFO:__main__:Prediction for sample 29474:
[0.5111722  0.48882782] with label0.0
INFO:__main__:Prediction for sample 29599:
[0.5695686  0.43043137] with label2.0
INFO:__main__:Prediction for sample 29724:
[0.52781004 0.47219   ] with label2.0
INFO:__main__:Prediction for sample 29849:
[0.5475108  0.45248917] with label2.0
INFO:__main__:Prediction for sample 29974:
[0.57082033 0.4291797 ] with label2.0
INFO:__main__:Prediction for sample 30099:
[0.52284455 0.47715548] with label2.0
INFO:__main__:Prediction for sample 30224:
[0.57256454 0.4274355 ] with label2.0
INFO:bdonline.replay.trainers_replay:Trial has ended for class 2, from 19272 to 19997
INFO:bdonline.replay.trainers_replay:Now 6 trials (including breaks)
INFO:bdonline.replay.trainers_replay:Training model...
INFO:bdonline.replay.trainers_replay:[ 1 39 35 12 23  0 24  1 18 39 18 29 37  4 28 13  3 20 32 16 20  3 28 28
 35 26  7 27 10 35 17 11 19 23 33 28 33 20 19 14  4 25 28  9 28]
INFO:bdonline.replay.trainers_replay:[20 29  3 27 23 27 35 25  5 34 27 20 16 24 29 32 26 15 20 11 17 32  8 39
 19 27 38 13 29 18 28  9 38 21  8 19 25 18 22 34 12 28 19 19 10]
INFO:bdonline.replay.trainers_replay:[14 19 24  3  2 20 17 24 24 26 33 28 34 31  8 30  8 26 25 26 25 34 19 26
 10  8 34 12 11 20 13 31 26 18 26 29 28 23  7 11 20 33 29 27  7]
INFO:bdonline.replay.trainers_replay:[26 12  1 25 19 18 11 22  4 25 20 25 22 11  9 10 15  8 23 22 29  1 24 38
 38 34 21 22 30 22 11 20 11 27 14 27 39 27  8 28 18 24  9 13  0]
INFO:bdonline.replay.trainers_replay:[20 21 10 26 23 25 27 29  3 20  2 25 26  7 33 11 33 29 35 33  5  8 27  2
 26 23 35  9 22  4 27 24 29 17 27 10 29 18  3 15 29 17  4 30 27]
INFO:bdonline.replay.trainers_replay:Time for training: 0.32s
INFO:__main__:Prediction for sample 30349:
[0.4408384 0.5591617] with label2.0
INFO:__main__:Prediction for sample 30474:
[0.5166005 0.4833995] with label2.0
INFO:__main__:Prediction for sample 30599:
[0.49144706 0.50855297] with label2.0
INFO:__main__:Prediction for sample 30724:
[0.55349267 0.44650728] with label2.0
INFO:__main__:Prediction for sample 30849:
[0.5796637  0.42033637] with label2.0
INFO:__main__:Prediction for sample 30974:
[0.4697075 0.5302925] with label0.0
INFO:__main__:Prediction for sample 31099:
[0.48826936 0.5117306 ] with label0.0
INFO:__main__:Prediction for sample 31224:
[0.5454651  0.45453495] with label0.0
INFO:__main__:Prediction for sample 31349:
[0.48097503 0.51902497] with label0.0
INFO:__main__:Prediction for sample 31474:
[0.5021939  0.49780607] with label0.0
INFO:__main__:Prediction for sample 31599:
[0.5196434  0.48035657] with label0.0
INFO:__main__:Prediction for sample 31724:
[0.5511214  0.44887856] with label0.0
INFO:__main__:Prediction for sample 31849:
[0.49603286 0.50396717] with label0.0
INFO:__main__:Prediction for sample 31974:
[0.51966995 0.48033008] with label0.0
INFO:__main__:Prediction for sample 32099:
[0.5135715  0.48642862] with label0.0
INFO:__main__:Prediction for sample 32224:
[0.5309476 0.4690523] with label0.0
INFO:__main__:Prediction for sample 32349:
[0.5105477  0.48945227] with label0.0
INFO:__main__:Prediction for sample 32474:
[0.5098467 0.4901533] with label0.0
INFO:__main__:Prediction for sample 32599:
[0.49206287 0.50793725] with label0.0
INFO:__main__:Prediction for sample 32724:
[0.5137656 0.4862344] with label0.0
INFO:__main__:Prediction for sample 32849:
[0.47845718 0.5215428 ] with label1.0
INFO:__main__:Prediction for sample 32974:
[0.538352   0.46164805] with label1.0
INFO:__main__:Prediction for sample 33099:
[0.5551934 0.4448066] with label1.0
INFO:__main__:Prediction for sample 33224:
[0.47417653 0.5258235 ] with label1.0
INFO:bdonline.replay.trainers_replay:Trial has ended for class 1, from 19486 to 19991
INFO:bdonline.replay.trainers_replay:Now 7 trials (including breaks)
INFO:bdonline.replay.trainers_replay:Training model...
INFO:bdonline.replay.trainers_replay:[35 16 35 21 16 15 21 36 44  4 30 25  2  2 21 29 19 44 33  1  1 43 25 15
 21 30 35 39 21  0 22 13 38 18 46 19 36 29 28  8 35 44 44  0 41]
INFO:bdonline.replay.trainers_replay:[41 37 40 46 24 11  3 24 32 30 28  2 29 41  5 42 13 23 20 42 35 39  4 34
 46 25 21 11 28 27 16  7  3 18 46 13 18  3 24 23 25  3 21 34 35]
INFO:bdonline.replay.trainers_replay:[41  3 25 40 44 21 16 21  7  0 45 25 39 17 36  7 46 15 25 28 43 27 20 18
 33 31 38 26  6 23 36 16  9 19  3  1 10 43 43 39 38 28 24 32 37]
INFO:bdonline.replay.trainers_replay:[40 44 22 25 25 24 35  3  7 29 18 26 41 24 46 15  4 15  2 41  9 37 30 46
 26 34 44 17 31 17 23 37 27 16  9  7 32 16  8 41 27 23 24 44 24]
INFO:bdonline.replay.trainers_replay:[27  7 32 18 16  3  8 16  9 32 25 28  0  0 20 13 45 35 20  4 34 25 35 22
 41 25 42  6  8 27 32 44 24 38 17 25 21 26 24 14 36 43 38 29 44]
INFO:bdonline.replay.trainers_replay:Time for training: 0.33s
INFO:__main__:Prediction for sample 33349:
[0.509966   0.49003398] with label1.0
INFO:__main__:Prediction for sample 33474:
[0.46098578 0.5390142 ] with label1.0
INFO:__main__:Prediction for sample 33599:
[0.5142984  0.48570165] with label1.0
INFO:__main__:Prediction for sample 33724:
[0.47698817 0.52301186] with label1.0
INFO:__main__:Prediction for sample 33849:
[0.57369775 0.4263023 ] with label0.0
INFO:__main__:Prediction for sample 33974:
[0.41436315 0.5856369 ] with label0.0
INFO:__main__:Prediction for sample 34099:
